species,niche_breadth_zcor
Acrocephalus arundinaceus,5.943193323
Acrocephalus paludicola,2.219122736
Acrocephalus palustris,5.33965792
Acrocephalus schoenobaenus,6.077769043
Acrocephalus scirpaceus,6.52742413
Aegithalos caudatus,6.593614266
Alectoris graeca,6.00046727
Alectoris rufa,5.40903311
Anthus campestris,6.020999775
Anthus petrosus,5.815252644
Anthus pratensis,6.320084868
Anthus trivialis,6.469308666
Apus apus,6.441263472
Apus pallidus,5.71683664
Aquila adalberti,3.748582524
Aquila chrysaetos,7.140347025
Branta leucopsis,5.599928292
Buteo buteo,6.084821042
Caprimulgus ruficollis,4.442740784
Carduelis carduelis,6.326125487
Carduelis citrinella,5.16189688
Certhia brachydactyla,5.426194379
Cettia cetti,6.011348839
Charadrius hiaticula,6.589824169
Ciconia ciconia,5.532342217
Cinclus cinclus,6.907613922
Circus aeruginosus,5.988978159
Circus pygargus,5.605744044
Coccothraustes coccothraustes,5.96354268
Columba oenas,5.713737466
Columba palumbus,6.321117749
Coracias garrulus,5.916060079
Crex crex,6.119956895
Cyanistes caeruleus,6.090228174
Cygnus olor,5.839885896
Dendrocopos major,6.779929547
Emberiza calandra,5.714599166
Emberiza cia,6.550886377
Emberiza cirlus,5.443734051
Emberiza citrinella,6.476689141
Emberiza hortulana,5.829873702
Emberiza melanocephala,5.453944853
Erithacus rubecula,6.133849557
Ficedula albicollis,4.621937716
Ficedula hypoleuca,5.984646532
Ficedula parva,5.229122715
Ficedula semitorquata,5.66678776
Garrulus glandarius,6.455470779
Hieraaetus pennatus,6.223025747
Hippolais icterina,5.753932036
Hippolais olivetorum,5.079523723
Hippolais polyglotta,5.36761649
Lanius collurio,5.857495376
Lanius senator,5.551272927
Linaria cannabina,6.207500987
Locustella fluviatilis,4.740242993
Locustella luscinioides,5.548825309
Locustella naevia,5.8350392
Lophophanes cristatus,5.778426047
Loxia pytyopsittacus,5.465513065
Lullula arborea,5.572517558
Luscinia luscinia,4.928546915
Luscinia megarhynchos,6.040989001
Melanocorypha calandra,5.685305542
Merops apiaster,6.040634469
Milvus milvus,5.126863823
Monticola solitarius,7.076824353
Numenius arquata,6.050216429
Numenius phaeopus,6.110389588
Oenanthe hispanica,5.706087927
Oenanthe leucura,4.846279315
Oriolus oriolus,5.949960264
Otus scops,6.099860385
Passer hispaniolensis,5.809866654
Passer italiae,5.275919894
Perdix perdix,5.590758317
Periparus ater,6.799016046
Pernis apivorus,5.653780999
Phoenicurus phoenicurus,6.363765491
Phylloscopus bonelli,5.43145884
Phylloscopus trochilus,6.263449227
Pluvialis apricaria,6.190899423
Poecile lugubris,5.561104543
Poecile palustris,6.140352852
Porzana porzana,5.9042014
Prunella modularis,6.256159799
Rallus aquaticus,6.339264212
Regulus ignicapilla,5.351721959
Regulus regulus,6.691461066
Remiz pendulinus,5.481085328
Saxicola rubetra,6.11660477
Serinus serinus,5.4998355
Sitta neumayer,5.623581495
Somateria mollissima,6.412273921
Spinus spinus,6.243178153
Streptopelia decaocto,6.942485258
Strix aluco,6.225051183
Sturnus unicolor,4.972160148
Sturnus vulgaris,6.946030012
Sylvia atricapilla,6.085830839
Sylvia borin,6.045209887
Sylvia communis,6.362383364
Sylvia conspicillata,5.099127906
Sylvia hortensis,5.113172713
Sylvia melanocephala,5.225194231
Sylvia undata,4.988520378
Tetrao urogallus,6.152956328
Tringa totanus,6.654541448
Troglodytes troglodytes,6.834085963
Turdus iliacus,6.092321636
Turdus philomelos,6.48077916
Turdus torquatus,6.14082764
Turdus viscivorus,6.433364073
Vanellus vanellus,6.186972346
