"Trait","rangeD_coef","rangeD_stderr","rangeD_p","rangeD_varimp","range_stab_coef","range_stab_stderr","range_stab_p","range_stab_varimp","range_unf_coef","range_unf_stderr","range_unf_p","range_unf_varimp","range_exp_coef","range_exp_stderr","range_exp_p","range_exp_varimp","nicheD_coef","nicheD_stderr","nicheD_p","nicheD_varimp","niche_stab_coef","niche_stab_stderr","niche_stab_p","niche_stab_varimp","niche_unf_coef","niche_unf_stderr","niche_unf_p","niche_unf_varimp","niche_exp_coef","niche_exp_stderr","niche_exp_p","niche_exp_varimp"
"Intercept",2.015,0.132567421674492,0,NA,3.703,0.226720585763914,0,NA,-8.502,1.28006199597451,0,NA,-3.225,0.877144896275899,0,NA,0.748,0.0973322722003879,0,NA,1.783,0.173026742398949,0,NA,-3.539,0.631873391308634,0,NA,-2.548,0.700447765720974,0,NA
"Mass",-0.139,0.0497606613954428,0.006,0.568,-0.122,0.0850788814461763,0.154,0.033,NA,NA,NA,NA,0.291,0.152976034585001,0.058,0.349,-0.086,0.0374688011958226,0.022,NA,NA,NA,NA,NA,-0.328,0.14437152734987,0.024,0,NA,NA,NA,NA
"Hand.Wing.Index",-0.115,0.0508950718487937,0.025,0.303,-0.236,0.0884235733476428,0.008,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trophic.Level",NA,NA,NA,NA,NA,NA,NA,NA,0.463,0.228735724623853,0.045,0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Habitat.Density",-0.108,0.0647329107626927,0.095,0.129,-0.304,0.111021472352785,0.007,0.205,0.424,0.211954400368351,0.047,0.353,NA,NA,NA,NA,0.069,0.0472759668567027,0.146,NA,NA,NA,NA,NA,0.315,0.174819248031569,0.074,0.626,NA,NA,NA,NA
"Range.Size",NA,NA,NA,NA,0.375,0.0903503776724176,0,0.562,NA,NA,NA,NA,-0.316,0.156423501941424,0.045,0.474,NA,NA,NA,NA,NA,NA,NA,NA,0.295,0.181630104857098,0.107,0.099,NA,NA,NA,NA
"Migration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,0.0680520033363882,0.154,0.049,-0.283,0.167747380787878,0.094,0.275,NA,NA,NA,NA
"Centroid.Latitude",NA,NA,NA,NA,NA,NA,NA,NA,3.554,2.03405220680574,0.082,0.277,-2.763,1.82724335167453,0.132,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.487,1.45871104199233,0.09,0.168
"niche_breadth_zcor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252,0.0557413607391699,0,0.951,-0.577,0.176169904766433,0.001,0,-0.454,0.12002635759258,0,0.832
"R2",0.191,NA,NA,NA,0.133,NA,NA,NA,0.048,NA,NA,NA,0.052,NA,NA,NA,0.033,NA,NA,NA,0.103,NA,NA,NA,0.039,NA,NA,NA,0.098,NA,NA,NA
"lambda",0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.128,NA,NA,NA,0,NA,NA,NA
